Keyword,Competition,Global Monthly Searches,Jan 2011,Dec 2010,Nov 2010,Oct 2010,Sep 2010,Aug 2010,Jul 2010,Jun 2010,May 2010,Apr 2010,Mar 2010,Feb 2010,Ad Share,Search Share,Estimated Avg. CPC,Extracted From Webpage,Local Monthly Searches
lawsuit,0.14,1500000,-,1220000,1500000,1500000,1500000,1220000,1220000,1220000,1220000,1220000,1500000,1220000,-,-,$5.14,-,1220000
civil lawsuit,0.29,18100,-,18100,18100,18100,18100,18100,14800,14800,18100,18100,18100,14800,-,-,$1.30,-,18100
lawsuits,0.2,550000,-,450000,450000,550000,450000,450000,450000,368000,450000,450000,550000,450000,-,-,$4.42,-,450000
class action lawsuits,0.19,135000,-,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,110000,-,-,$1.86,-,135000
class action lawsuit,0.15,110000,-,90500,110000,110000,90500,110000,110000,110000,110000,110000,110000,90500,-,-,$2.19,-,110000
lawsuit search,0.42,3600,-,4400,5400,4400,4400,2400,2400,2400,2400,2900,2900,1900,-,-,$0.71,-,2900
airborne lawsuit,0.11,720,-,720,720,720,590,260,260,260,480,590,880,1300,-,-,$0.05,-,720
litigation,0.26,550000,-,368000,368000,368000,368000,368000,368000,368000,368000,368000,368000,301000,-,-,$5.19,-,368000
class action lawsuits list,0.43,3600,-,4400,3600,2900,2900,2900,2900,2900,3600,4400,3600,2900,-,-,$0.05,-,3600
lawsuit funding,0.74,8100,-,8100,8100,9900,8100,6600,5400,8100,5400,5400,5400,3600,-,-,$14.20,-,6600
lawsuit settlements,0.32,33100,-,33100,33100,33100,27100,33100,33100,33100,33100,33100,33100,27100,-,-,$6.58,-,33100
lawsuit loans,0.75,4400,-,3600,3600,4400,3600,4400,3600,4400,3600,3600,3600,2900,-,-,$22.43,-,3600
lawsuit loan,0.57,5400,-,6600,8100,8100,6600,5400,4400,4400,4400,4400,4400,2900,-,-,$12.75,-,5400
medical lawsuits,0.45,8100,-,5400,8100,8100,8100,6600,6600,6600,8100,9900,9900,8100,-,-,$4.72,-,8100
lawsuit lawyers,0.73,2400,-,1900,1900,1900,1900,2400,1900,1900,1600,1600,1900,1600,-,-,$3.79,-,1900
personal injury lawsuit,0.57,6600,-,3600,6600,9900,6600,6600,5400,5400,5400,5400,4400,4400,-,-,$13.37,-,5400
countrywide lawsuit,0.2,3600,-,1300,1600,2900,2400,2900,2400,4400,8100,5400,2400,4400,-,-,$3.87,-,3600
how to file a lawsuit,0.37,9900,-,9900,9900,9900,9900,9900,9900,9900,8100,8100,9900,8100,-,-,$1.17,-,9900
defamation of character lawsuit,0.36,2400,-,2400,2900,2400,1900,1900,2400,2400,2400,2400,2400,1600,-,-,$1.36,-,2400
frivolous lawsuits,0.09,8100,-,8100,9900,9900,8100,6600,5400,5400,8100,9900,9900,8100,-,-,$0.89,-,8100
lawsuit advance,0.7,5400,-,6600,8100,6600,6600,3600,2900,5400,2900,2900,2900,2400,-,-,$14.11,-,4400
civil lawsuits,0.26,6600,-,5400,6600,6600,6600,5400,4400,5400,5400,6600,6600,5400,-,-,$1.33,-,5400
malpractice lawsuits,0.5,14800,-,9900,12100,14800,14800,12100,12100,12100,22200,27100,18100,12100,-,-,$4.32,-,14800
medical malpractice lawsuit,0.52,2900,-,1900,1900,1900,1900,1900,2400,2400,4400,4400,3600,2400,-,-,$7.76,-,2900
malpractice lawsuit,0.47,6600,-,5400,5400,5400,5400,5400,5400,5400,9900,12100,8100,5400,-,-,$6.92,-,6600
reglan lawsuit,0.67,3600,-,2400,2400,2400,2900,3600,2900,3600,3600,4400,4400,4400,-,-,$0.05,-,3600
lawsuit financing,0.58,1300,-,2400,2900,3600,1900,480,390,590,390,390,720,320,-,-,$13.95,-,1300
