Keyword	Competition	Global Monthly Searches	Jan 2011	Dec 2010	Nov 2010	Oct 2010	Sep 2010	Aug 2010	Jul 2010	Jun 2010	May 2010	Apr 2010	Mar 2010	Feb 2010	Ad Share	Search Share	Estimated Avg. CPC	Extracted From Webpage	Local Monthly Searches
new york	0.26	55600000	-	37200000	37200000	37200000	30400000	30400000	30400000	30400000	30400000	30400000	30400000	30400000	-	-	$2.22	-	30400000
new york travel	0.51	110000	-	60500	49500	49500	60500	60500	60500	60500	60500	60500	60500	60500	-	-	$3.75	-	60500
new york tours	0.72	201000	-	90500	90500	110000	110000	135000	135000	110000	135000	110000	110000	74000	-	-	$2.36	-	110000
warwick hotel new york	0.78	18100	-	5400	8100	8100	8100	8100	6600	6600	8100	8100	8100	6600	-	-	$3.06	-	8100
dream hotel new york	0.76	9900	-	2900	4400	4400	3600	4400	4400	4400	5400	5400	5400	5400	-	-	$2.75	-	4400
plaza hotel new york	0.69	60500	-	40500	33100	33100	27100	22200	27100	27100	27100	27100	33100	22200	-	-	$1.98	-	27100
new york tourism	0.48	27100	-	12100	12100	12100	12100	14800	14800	14800	18100	18100	18100	12100	-	-	$1.07	-	14800
new york hotels	0.73	2740000	-	1000000	1220000	1220000	1220000	1220000	1220000	1000000	1220000	1220000	1220000	1000000	-	-	$3.04	-	1220000
new york facts	0.24	33100	-	27100	33100	40500	33100	9900	6600	14800	40500	33100	33100	27100	-	-	$0.28	-	27100
paramount hotel new york	0.76	27100	-	6600	8100	8100	9900	8100	8100	8100	8100	8100	8100	6600	-	-	$11.88	-	8100
new york hotel	0.67	2240000	-	673000	823000	823000	823000	823000	823000	823000	823000	823000	823000	673000	-	-	$2.47	-	823000
peninsula new york	0.62	14800	-	8100	8100	6600	8100	8100	8100	8100	8100	8100	8100	9900	-	-	$1.10	-	8100
night hotel new york	0.77	6600	-	1900	2400	2400	2400	1900	2400	2400	2400	2400	2900	2900	-	-	$2.05	-	2400
hotels in new york	0.87	673000	-	301000	368000	368000	368000	368000	368000	368000	368000	368000	368000	301000	-	-	$3.47	-	368000
visit new york	0.54	33100	-	18100	18100	18100	22200	22200	22200	22200	22200	18100	22200	14800	-	-	$1.35	-	18100
hotels manhattan new york	0.9	74000	-	18100	18100	18100	22200	22200	22200	22200	22200	22200	22200	18100	-	-	$3.24	-	22200
new york pictures	0.32	110000	-	74000	74000	74000	74000	49500	49500	60500	74000	74000	74000	60500	-	-	$0.58	-	74000
the roosevelt hotel new york	0.7	6600	-	2900	3600	3600	3600	2900	2900	2900	2900	1900	2400	1900	-	-	$2.86	-	2900
the london new york	0.34	9900	-	4400	4400	4400	4400	4400	3600	3600	3600	4400	4400	3600	-	-	$3.29	-	4400
roosevelt hotel new york	0.75	40500	-	12100	14800	18100	18100	14800	14800	14800	14800	12100	12100	9900	-	-	$5.07	-	14800
new york city	0.37	5000000	-	4090000	4090000	4090000	3350000	3350000	3350000	3350000	4090000	4090000	4090000	3350000	-	-	$1.51	-	4090000
skyline hotel new york	0.77	12100	-	2400	3600	2900	3600	2900	2900	3600	3600	3600	3600	1900	-	-	$1.45	-	2900
wellington hotel new york	0.85	33100	-	5400	9900	8100	8100	6600	8100	6600	8100	8100	9900	5400	-	-	$5.03	-	8100
edison hotel new york	0.87	33100	-	6600	9900	8100	8100	8100	8100	8100	8100	6600	8100	6600	-	-	$2.01	-	8100
new york attractions	0.75	74000	-	40500	40500	40500	40500	49500	60500	60500	60500	60500	60500	40500	-	-	$1.10	-	49500
new york map	0.3	368000	-	246000	301000	301000	301000	301000	301000	246000	301000	301000	301000	246000	-	-	$0.71	-	301000
park central hotel new york	0.8	40500	-	12100	14800	14800	14800	12100	12100	14800	12100	12100	12100	9900	-	-	$4.67	-	12100
soho new york	0.39	90500	-	49500	40500	33100	33100	40500	40500	40500	40500	40500	40500	33100	-	-	$1.66	-	40500
new york trip	0.42	60500	-	33100	33100	33100	33100	33100	33100	33100	33100	33100	33100	27100	-	-	$1.73	-	33100
new york weather	0.12	673000	-	550000	301000	368000	368000	246000	301000	246000	368000	301000	301000	550000	-	-	$0.10	-	368000
hotels in new york city	0.92	165000	-	110000	135000	135000	135000	110000	135000	110000	135000	110000	135000	90500	-	-	$3.70	-	110000
pod hotel new york	0.79	22200	-	4400	6600	8100	9900	8100	9900	6600	9900	8100	6600	5400	-	-	$0.05	-	8100
w hotel new york	0.54	49500	-	22200	22200	27100	33100	27100	27100	22200	27100	27100	33100	27100	-	-	$5.68	-	27100
new york history	0.18	110000	-	90500	90500	110000	90500	74000	74000	74000	110000	110000	110000	90500	-	-	$0.45	-	90500
new york city attractions	0.82	27100	-	18100	18100	18100	18100	18100	27100	27100	27100	27100	27100	22200	-	-	$1.19	-	22200
travel new york	0.51	110000	-	60500	49500	49500	60500	60500	60500	60500	60500	60500	60500	60500	-	-	$0.00	-	60500
manhattan new york	0.49	246000	-	110000	110000	110000	110000	110000	110000	110000	110000	110000	110000	90500	-	-	$1.63	-	110000
new york city map	0.38	110000	-	74000	90500	74000	74000	74000	74000	74000	74000	74000	74000	60500	-	-	$0.82	-	74000
pennsylvania hotel new york	0.86	40500	-	6600	8100	8100	8100	6600	8100	8100	8100	8100	8100	6600	-	-	$3.32	-	6600
new york city hotels	0.84	368000	-	201000	201000	201000	201000	201000	201000	201000	246000	201000	246000	165000	-	-	$3.72	-	201000
things to do in new york city	0.63	27100	-	27100	27100	22200	22200	27100	33100	22200	22200	18100	18100	12100	-	-	$1.42	-	22200
map of new york	0.3	368000	-	246000	301000	301000	301000	301000	301000	246000	301000	301000	301000	246000	-	-	$0.82	-	301000
cheap hotels in new york city	0.98	18100	-	12100	14800	14800	14800	14800	14800	12100	12100	9900	9900	8100	-	-	$3.15	-	12100
new york city trip	0.46	22200	-	8100	8100	8100	8100	8100	8100	8100	8100	8100	9900	6600	-	-	$1.34	-	8100
places to visit in new york	0.63	14800	-	9900	9900	9900	9900	9900	12100	9900	12100	9900	9900	6600	-	-	$0.92	-	9900
time new york	0.19	673000	-	301000	301000	301000	246000	246000	246000	246000	246000	246000	301000	246000	-	-	$2.97	-	246000
carter hotel new york	0.61	9900	-	1600	2400	3600	3600	3600	2900	2900	2900	1900	1900	1300	-	-	$3.20	-	2400
royalton hotel new york	0.58	8100	-	2900	4400	5400	3600	2900	2900	2900	3600	4400	5400	4400	-	-	$6.35	-	3600
new york helmsley hotel	0.82	27100	-	5400	6600	8100	8100	6600	6600	8100	9900	9900	9900	6600	-	-	$2.63	-	8100
penn station new york	0.28	49500	-	49500	49500	49500	40500	49500	49500	49500	40500	40500	40500	33100	-	-	$0.63	-	40500
new york tourist attractions	0.7	12100	-	8100	8100	8100	6600	6600	8100	8100	9900	9900	9900	6600	-	-	$1.16	-	8100
st regis new york	0.36	14800	-	12100	12100	9900	9900	9900	9900	9900	9900	9900	9900	8100	-	-	$1.74	-	9900
new york vacation packages	0.95	9900	-	6600	6600	6600	6600	6600	8100	8100	6600	5400	6600	6600	-	-	$0.00	-	6600
stay hotel new york	0.8	9900	-	2900	3600	3600	4400	3600	3600	2900	2900	3600	3600	2900	-	-	$51.34	-	3600
ace hotel new york	0.48	18100	-	8100	9900	12100	12100	8100	6600	6600	9900	9900	14800	12100	-	-	$0.05	-	9900
michelangelo hotel new york	0.72	6600	-	2900	3600	4400	5400	4400	4400	4400	5400	5400	5400	3600	-	-	$2.41	-	4400
things to do in new york	0.57	90500	-	60500	60500	60500	49500	60500	74000	60500	60500	49500	49500	40500	-	-	$1.09	-	60500
facts about new york	0.24	33100	-	27100	33100	40500	33100	9900	6600	14800	40500	33100	33100	27100	-	-	$0.44	-	27100
hotels in times square new york	0.96	27100	-	18100	22200	18100	14800	18100	18100	18100	18100	14800	18100	14800	-	-	$3.61	-	18100
the muse hotel new york	0.62	5400	-	1600	1900	1900	2900	1900	2400	2400	2400	1900	2400	2400	-	-	$2.82	-	2400
standard hotel new york	0.45	18100	-	4400	6600	8100	6600	8100	8100	8100	12100	12100	9900	9900	-	-	$0.05	-	8100
the benjamin new york	0.76	5400	-	2400	2900	2900	2900	3600	2900	2900	2900	3600	3600	3600	-	-	$2.28	-	2900
new york city jobs	0.56	49500	-	49500	49500	49500	49500	49500	49500	49500	49500	49500	49500	40500	-	-	$1.09	-	49500
muse hotel new york	0.67	9900	-	3600	4400	4400	5400	4400	4400	4400	4400	4400	5400	4400	-	-	$1.87	-	4400
thirty thirty hotel new york	0.74	12100	-	1900	2400	2900	2900	3600	2900	4400	2900	2400	2400	1900	-	-	$1.53	-	2900
what time is it in new york right now	0.08	8100	-	1900	2900	1900	1600	1900	3600	5400	4400	4400	5400	2900	-	-	$0.05	-	3600
unclaimed funds new york	0.31	12100	-	12100	14800	14800	14800	14800	12100	9900	12100	9900	9900	9900	-	-	$0.54	-	12100
trips to new york	0.77	40500	-	18100	22200	18100	18100	22200	22200	18100	18100	18100	18100	14800	-	-	$3.14	-	18100
w new york	0.23	165000	-	110000	110000	110000	110000	110000	90500	90500	90500	110000	110000	90500	-	-	$3.31	-	110000
new york city events	0.42	22200	-	22200	22200	22200	22200	22200	22200	22200	22200	18100	18100	14800	-	-	$1.95	-	18100
visit new york city	0.61	6600	-	4400	4400	3600	3600	4400	5400	4400	4400	4400	5400	4400	-	-	$1.34	-	4400
new york things to do	0.57	90500	-	60500	60500	60500	49500	60500	74000	60500	60500	49500	49500	40500	-	-	$1.35	-	60500
