Keyword,Competition,Global Monthly Searches,Jan 2011,Dec 2010,Nov 2010,Oct 2010,Sep 2010,Aug 2010,Jul 2010,Jun 2010,May 2010,Apr 2010,Mar 2010,Feb 2010,Ad Share,Search Share,Estimated Avg. CPC,Extracted From Webpage,Local Monthly Searches
mesothelioma,0.88,246000,-,135000,135000,135000,110000,110000,110000,135000,135000,201000,246000,110000,-,-,$110.51,-,135000
mesothelioma symptoms,0.89,6600,-,4400,5400,4400,3600,3600,3600,3600,3600,4400,14800,2900,-,-,$80.74,-,4400
mesothelioma prognosis,0.93,2400,-,1600,1900,1600,1600,1300,1000,1000,1000,1000,1600,880,-,-,$53.00,-,1300
mesothelioma cancer,0.81,9900,-,5400,6600,6600,5400,6600,5400,8100,6600,6600,14800,4400,-,-,$63.04,-,6600
what is mesothelioma,0.93,1900,-,1300,1300,1300,1300,1000,1300,1000,1000,1300,2400,880,-,-,$112.05,-,1300
malignant mesothelioma,0.85,6600,-,2900,3600,3600,2900,2900,2900,2900,2900,2900,2900,2900,-,-,$61.56,-,2900
mesothelioma lawyer,0.85,18100,-,9900,9900,9900,8100,9900,12100,9900,9900,9900,18100,8100,-,-,$44.40,-,9900
mesothelioma lawyers,0.86,49500,-,22200,27100,27100,22200,27100,27100,27100,27100,74000,49500,22200,-,-,$76.63,-,33100
mesothelioma attorney,0.84,14800,-,8100,8100,8100,6600,8100,9900,8100,9900,8100,14800,5400,-,-,$55.55,-,8100
peritoneal mesothelioma,0.87,4400,-,2900,2900,2900,2400,1900,2400,2400,2400,2400,2900,2400,-,-,$56.74,-,2400
mesothelioma life expectancy,0.93,2400,-,880,880,880,880,1000,1000,1000,1000,1300,2400,1300,-,-,$38.16,-,1000
mesothelioma treatment,0.84,5400,-,2900,3600,2900,2900,2900,2400,3600,2900,2400,2400,2400,-,-,$50.51,-,2900
pleural mesothelioma,0.85,6600,-,2400,3600,3600,2900,2900,2400,2900,2900,2900,2900,2900,-,-,$62.30,-,2900
